"DISTRICT","D20190723","D20190724","D20190725","D20190726","D20190727","D20190728","D20190729","D20190730","D20190731","D20190801"
"Srikakulam",7.87,10.07,10.34,11.9,11.7,11.33,8.97,8.45,8.88,11.1
"Vizianagaram",6.34,6.49,7.08,8.51,8.71,8.18,6.72,6.31,6.11,8.28
"Visakhapatnam",5.33,8.48,12.85,16.92,17.82,16.49,12.94,12.99,14.06,15.44
"East Godavari",5.76,8.44,11.56,15.42,17.76,14.69,10.4,11.17,11.2,10.95
"West Godavari",6.11,9.31,11.47,14.78,17.55,13.84,10.23,10.96,8.83,8.98
"Krishna",6.62,11.65,12.95,14.07,16.51,13.4,12.06,11.15,9.33,10.45
"Guntur",6.76,12.02,13.71,14.07,14.67,13.29,12.38,11.61,11.29,12.73
"Prakasam",10.32,14.28,15.67,15.47,17.3,15.07,13.68,13.6,13.38,15.67
"Kurnool",12.11,16.06,16.03,16.47,19.12,17.45,15.08,14.18,15.95,17.69
"Anantapur",16.86,18.75,18.6,19.04,22.47,21.74,17.77,17.11,18.53,20.33
"Kadapa",13.81,14.62,15.1,16.41,18.21,16.8,14.4,14.3,15.25,17.61
"Chittoor",12.28,12.56,12.06,14.19,15.93,14.67,11.92,11.44,12.14,13.63
"Nellore",9.72,12.46,13.16,14.66,14.94,13.2,11.16,12.81,12.04,13.82
