"DISTRICT","D20190723","D20190724","D20190725","D20190726","D20190727","D20190728","D20190729","D20190730","D20190731","D20190801"
"Srikakulam",97.08,94.19,93.38,95.06,94.93,93.55,91.63,90.85,93.57,93.98
"Vizianagaram",98.15,96.42,93.13,95.5,95.89,94.89,89.99,86.88,92.09,93.9
"Visakhapatnam",97.38,95.57,93.41,94.38,95.1,93.92,90.49,89.05,92.43,92.79
"East Godavari",95.81,94.43,95.17,94.51,94.4,93.83,92.5,89.07,91.84,90.36
"West Godavari",95.41,93.5,94.31,93.52,93.54,92.58,91.09,84.32,89.98,85.16
"Krishna",94.26,89.07,91.52,91.58,92.79,90.64,85.9,81.28,81.38,77.69
"Guntur",94,84.33,83.94,88.88,91.76,88.62,78.87,78.36,74.52,69.77
"Prakasam",89.04,81.14,84.26,88.26,88.29,84.51,78.04,76.57,73.78,68.97
"Kurnool",88.61,85.49,88.03,91.4,87.88,86.41,85.17,85.09,79.63,81.1
"Anantapur",88.4,84.76,84.87,90.77,85.44,78.76,78.67,83.1,80.82,81.96
"Kadapa",81.9,78.46,77.98,88.76,82.94,74.36,74.19,76.02,70.33,70.17
"Chittoor",87.33,81.25,85.44,86.56,79.76,73.42,75.93,78.38,76.36,72.26
"Nellore",84.82,76.46,81.25,84.22,81.87,80.06,75.75,74.13,73.6,66.96
