"DISTRICT","D20190723","D20190724","D20190725","D20190726","D20190727","D20190728","D20190729","D20190730","D20190731","D20190801"
"Srikakulam",32.74,33.68,33.84,30.64,29.26,30.53,32.65,32.58,30.43,29.09
"Vizianagaram",33.09,34.06,33.65,31.48,29.14,30.07,32.53,32.41,30.96,29.13
"Visakhapatnam",30.44,31.26,30.79,27.94,26.84,28.29,29.79,30.32,28.64,26.98
"East Godavari",31.97,33.35,32.28,28.55,27.81,29.64,32.15,32.16,29.2,28.88
"West Godavari",32.93,34.87,34.1,29.03,28.61,30.75,33.19,33.03,30.67,30.98
"Krishna",33.36,36.23,35.66,30.26,29.27,31.54,33.77,33.96,32.96,32.89
"Guntur",33.73,36.04,36.59,31.59,29.92,31.87,33.79,34.58,34.18,34.59
"Prakasam",33.05,34.63,35.54,31.74,30.25,31.57,33.41,33.85,33.94,34.35
"Kurnool",30.74,32.68,33.18,31.14,29.79,31.35,31.46,31.54,32.51,32.86
"Anantapur",30.35,32.47,32.98,31.14,31.43,31.85,31.73,31.98,32.63,33.05
"Kadapa",32.31,34.48,34.69,32.74,32.47,33.48,33.74,33.62,34,35.11
"Chittoor",31.58,34.37,34.27,32.26,33.2,30.95,33.15,33.62,33.89,34.4
"Nellore",33.24,36.41,36.82,34.2,34.65,34.65,35.43,35.59,35.5,36.92
