"DISTRICT","MANDAL","23-07-19","24-07-19","25-07-19","26-07-19","27-07-19","28-07-19","29-07-19","30-07-19","31-07-19","01-08-19"
"ANANTAPUR","AGALI",28.63,31.05,30.92,29.21,29.12,30.17,31.19,30.96,31.33,30.92
"ANANTAPUR","AMADAGUR",31.34,33.12,34.44,30.66,31.49,31.53,32.4,32.68,32.85,33.59
"ANANTAPUR","AMARAPURAM",30.16,32.26,32.63,30.56,30.49,30.38,32.3,31.9,32.06,32.38
"ANANTAPUR","ANANTAPURMANDAL",33.32,37.39,37.2,34.02,34.05,33.22,35.12,35.55,36.84,37.02
"ANANTAPUR","ATMAKUR",32.06,35.51,36.24,33.17,32.79,32,34.42,34.65,35.05,36.12
"ANANTAPUR","BATHALAPALLE",34.75,36.43,37.4,34.16,34.17,33.39,34.94,35.21,35.37,36.66
"ANANTAPUR","BELUGUPPA",32.19,34.56,33.38,32.49,32.91,30.94,33.64,33.97,34.52,34.64
"ANANTAPUR","BOMMANAHAL",34.25,35.01,35.59,34.07,32.42,32.45,33.46,34.35,34.96,35.05
"ANANTAPUR","BRAHMASAMUDRAM",30.74,32.99,33.35,31.56,32.23,30.15,33.12,33.53,33.1,33.27
"ANANTAPUR","BUKKAPATNAM",33.59,34.63,35.57,32.38,32.2,32.72,33.48,33.79,33.84,34.99
"ANANTAPUR","BUKKARAYASAMUDRAM",33.06,37.39,37.38,34.04,34.05,33.22,35.39,35.55,36.84,37.02
"ANANTAPUR","CHENNEKOTHAPALLE",34.44,35.68,36.52,33.46,33.41,32.63,34.26,34.48,34.77,35.9
"ANANTAPUR","CHILAMATHUR",28.93,30.66,33.48,30.01,30.45,30.25,30.62,31.13,31.64,32.12
"ANANTAPUR","DHARMAVARAM",34.55,36.11,37.03,34.16,34.07,33.39,34.84,35.18,35.22,36.49
"ANANTAPUR","DHIRCHAL",34.15,33.64,36.21,33.29,31.73,31.73,33.23,33.93,34.39,34.36
"ANANTAPUR","GANDLAPENTA",33.08,33.91,35.04,32.01,31.99,32.99,33.52,33.84,33.4,34.35
"ANANTAPUR","GARLADINNE",33.68,37.39,37.2,34.38,34.23,33.68,35.31,35.55,37.1,37.02
"ANANTAPUR","GOOTY",33.68,35.97,35.94,34.75,33.08,33.31,35.86,34.88,36.02,36.5
"ANANTAPUR","GORANTLA",30.48,31.68,34.55,31.43,31.42,31.11,32.2,32.23,32.7,33.79
"ANANTAPUR","GUDIBANDA",29.59,31.73,31.41,30.05,29.84,30.38,31.44,31.27,31.38,31.44
"ANANTAPUR","GUMMAGATTA",32.13,33.52,33.35,32.21,32.23,30.82,33.48,33.7,33.68,33.53
"ANANTAPUR","GUNTAKAL",33,35.97,35.94,34.69,33.08,33.31,35.86,34.7,36.02,36.28
"ANANTAPUR","HINDUPUR",29.23,30.79,33.89,30.66,30.22,30.6,31.59,31.42,32.1,32.32
"ANANTAPUR","KADIRI",33.52,34.83,35,33,32.17,32.65,33.88,33.79,33.7,34.88
"ANANTAPUR","KALYANDURG",30.56,33.55,32.97,31.53,32.69,30.91,33.57,33.49,33.89,34.34
"ANANTAPUR","KAMBADUR",30.56,33.43,34.49,31.33,32.07,30.91,33.57,32.4,33.8,33.95
"ANANTAPUR","KANAGANAPALLE",33.62,35.01,36,32.81,32.88,32.02,34.24,33.83,34.34,35.02
"ANANTAPUR","KANEKAL",34.25,35.43,35.35,33.47,32.89,31.99,33.91,34.17,35.07,34.72
"ANANTAPUR","KOTHACHERUVU",33.79,34.5,36.13,32.8,32.67,32.43,33.47,33.9,34.35,35.19
"ANANTAPUR","KUDAIR",32.44,36.8,36.62,33.81,33.67,32.76,34.59,35.32,36.32,36.43
"ANANTAPUR","KUNDURPI",29.61,32.09,32.02,30.49,30.77,29.81,32.26,32.04,32.21,32.34
"ANANTAPUR","LEPAKSHI",28.92,30.79,33.89,30.35,30.35,30.47,31.31,31.31,32.1,32.18
"ANANTAPUR","MADAKASIRA",29.44,31.38,33.65,30.65,30.19,30.72,32.01,31.5,32.2,32.37
"ANANTAPUR","MUDIGUBBA",35.14,36.95,37.4,34.17,34.3,33.42,35.3,35.29,35.36,36.62
"ANANTAPUR","NALLACHERUVU",32.15,33.64,34.57,31.21,31.75,32.11,32.82,32.95,32.93,33.83
"ANANTAPUR","NALLAMADA",32.5,34.28,35.1,32.31,31.64,32.14,33.26,33.32,33.18,34.66
"ANANTAPUR","NAMBULIPULIKUNTA",35.03,36.17,36.41,34.6,33.17,34.45,35.68,35.11,34.9,35.81
"ANANTAPUR","NARPALA",33.85,36.59,37.46,34.02,34.03,33.32,36.07,34.87,36.11,36.72
"ANANTAPUR","OBULADEVARACHERUVU",31.34,32.57,34.56,30.96,31.49,31.53,32.4,32.68,32.85,33.66
"ANANTAPUR","PAMIDI",33.66,36.78,36.28,34.43,33.9,33.6,36.18,35.19,36.66,36.8
"ANANTAPUR","PARIGI",29.6,31.38,33.65,31.03,30.21,30.72,32.01,31.5,32.2,32.49
"ANANTAPUR","PEDDAPAPPUR",35.1,38.06,38.41,34.78,34.84,34.34,37.15,36.12,37.37,37.77
"ANANTAPUR","PEDDAVADUGUR",34.74,37.69,37.62,34.75,34.55,33.75,36.66,36,37.01,37.3
"ANANTAPUR","PENUKONDA",32.87,33.81,36.13,32.8,32.44,32.17,33.47,33.6,34.35,34.94
"ANANTAPUR","PUTLUR",35.18,38.06,38.41,34.78,34.86,34.63,37.84,36.29,37.56,37.84
"ANANTAPUR","PUTTAPARTHI",32.07,33.13,35.21,32.07,31.89,31.84,32.86,33.13,33.63,34.39
"ANANTAPUR","RAMAGIRI",33.62,35.01,36.09,32.81,32.88,32.02,34.24,33.83,34.43,35.02
"ANANTAPUR","RAPTADU",33.33,35.11,36.28,33.6,33.07,32.56,34.8,34.49,34.98,36.22
"ANANTAPUR","RAYADURG",32.13,33.52,33.08,32.21,31.85,30.82,33.48,33.7,33.68,33.58
"ANANTAPUR","RODDAM",31.36,32.84,34.49,31.64,30.96,30.92,32.52,32.42,32.68,32.81
"ANANTAPUR","ROLLA",29.05,31.24,32.05,29.59,29.42,30.28,31.35,31.08,31.46,31.19
"ANANTAPUR","SETTUR",30.25,32.83,32.21,30.79,32.12,30.19,32.77,32.98,32.81,32.92
"ANANTAPUR","SINGANAMALA",34.36,37.67,37.62,34.67,34.55,33.75,36.49,35.75,37.01,37.26
"ANANTAPUR","SOMANDEPALLE",29.61,30.91,33.4,31.03,30.55,30.6,31.77,31.47,32.08,32.98
"ANANTAPUR","TADIMARRI",34.56,37.14,37.4,34.16,34.24,33.7,35.8,35.52,35.97,37.13
"ANANTAPUR","TADPATRI",35.42,38.06,38.41,34.78,34.86,34.77,37.86,36.39,37.48,37.84
"ANANTAPUR","TALUPULA",35.03,36.17,35.7,34.6,33.17,34.04,35.68,35.11,34.9,35.81
"ANANTAPUR","TANAKAL",32.58,34.28,35.24,32.29,32.29,32.33,33.47,33.83,33.66,34.32
