"DISTRICT","D20190723","D20190724","D20190725","D20190726","D20190727","D20190728","D20190729","D20190730","D20190731","D20190801"
"Srikakulam",1.07,4.42,7.01,27.37,11.71,3.38,7.94,5.43,12.09,24.46
"Vizianagaram",2.12,6.29,5.81,33.03,13.77,3.82,3.52,4.73,5.98,21.71
"Visakhapatnam",4.33,7.98,6.66,31.94,33.38,7.17,1.69,7.09,5.24,19.49
"East Godavari",10.56,8.47,11.45,28.29,45.13,5.91,4.81,5.14,3.91,11.69
"West Godavari",4.53,4.05,11.67,18.36,37.17,5.76,3.09,2.72,2.4,5.71
"Krishna",4.12,2.79,7.94,9.62,32.65,5.92,0.71,0.62,0.68,0.57
"Guntur",6.26,1.91,2.82,4.75,22.33,2.56,0.59,0.24,0.3,0.02
"Prakasam",1.94,0.45,2.25,5.05,10.92,0.85,0.53,0.2,0.04,0.02
"Kurnool",7.01,1.08,7.32,6.84,7.21,1.42,1.19,2.11,0.06,0.12
"Anantapur",3.39,0.4,1.65,5.24,1.65,0.15,1.12,0.67,0.08,0.17
"Kadapa",1.06,0.29,1.12,4.12,2.38,0.48,0.59,0.33,0.01,0.03
"Chittoor",1.44,0.5,3.8,2.55,0.2,0.3,0.33,0.37,0.03,0.08
"Nellore",1.76,0.16,1.97,1.86,2.45,0.48,0.25,0.34,0.08,0.07
