"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","23-07-19","24-07-19","25-07-19","26-07-19","27-07-19","28-07-19","29-07-19","30-07-19","31-07-19","01-08-19"
1,826001,"PRAKASAM","JANAKAVARAMPANGULU","Ramakuru",80.03999,15.892867,77.15,62.38375,62.41625,78.91,80.0075,72.52125,63.1625,59.85,57.155,53.245
2,1315004,"KURNOOL","JUPADUBUNGALOW","Bollavaram",78.377097,15.885363,82.19375,75.68125,78.95,81.5375,83.4875,77.8175,79.24,76.735,70.1225,66.6
3,1330889,"KURNOOL","ATMAKURKURNOOL","Pinnapuram",78.654945,15.886427,88.18875,80.7375,83.61875,88.075,90.6975,84.09625,80.585,82.165,76,72.12
4,820009,"PRAKASAM","MARTUR","LakkavaramAgraharam",80.061727,15.906479,77.64,61.84625,62.55375,79.68875,80.09125,72.6125,62.6075,59.7525,57.6125,53.1175
5,1303014,"KURNOOL","MANTRALAYAM","Budur",77.380195,15.868793,80.06,71.2875,73.22125,76.7025,78.06125,70.92875,72.885,74.28,61.665,60.87
6,805004,"PRAKASAM","DONAKONDA","PadamaraLakshmipuram",79.387233,15.888066,72.23875,63.4775,64.77125,79.09625,81.33,70.6075,63.2075,63.0725,59.325,55.8925
7,822002,"PRAKASAM","KARAMCHEDU","Karamchedu1",80.321381,15.887126,79.66,64.31625,65.37875,83.0925,83.4475,74.91625,63.515,61.6425,61.08,55.4725
8,806008,"PRAKASAM","PEDAARAVEEDU","BoyadaGumpula",79.243357,15.885803,71.78,65.9425,66.39125,78.78875,81.5725,71.1775,63.7325,65.725,60.685,57.615
9,1301011,"KURNOOL","KOWTHALAM","Thippaladoddi",77.165642,15.871667,80.7525,73.22625,73.13625,77.11875,77.84,71.085,73.56,74.54,64.27,62.735
10,1307007,"KURNOOL","KURNOOL","G.Singavaram1",77.934328,15.87304,77.50875,69.81625,74.34125,78.17125,80.76375,73.06375,75.4475,73.005,61.66,59.41
11,806007,"PRAKASAM","PEDAARAVEEDU","ThokaPalle",79.291841,15.882713,71.44875,63.965,64.94375,79.03375,81.70375,70.49375,62.4525,63.7475,59.615,56.1725
12,1301001,"KURNOOL","KOWTHALAM","Nadichagi",77.050836,15.858904,81.01125,73.465,72.505,76.78875,77.33,70.91625,73.4325,74.1725,65.04,63.2825
13,1303015,"KURNOOL","MANTRALAYAM","Chilakaladona",77.417441,15.866402,80.06,71.2875,73.22125,76.7025,78.06125,70.92875,72.885,74.28,61.665,60.87
14,756005,"GUNTUR","KARLAPALEM","Perali",80.564029,15.892302,80.4325,74.30125,72.21625,83.61125,82.16375,76.6025,66.905,68.02,68.355,65.4025
15,806005,"PRAKASAM","PEDAARAVEEDU","Cumbampadu",79.334104,15.878309,71.44875,63.965,64.94375,79.03375,81.70375,70.49375,62.4525,63.7475,59.615,56.1725
16,805003,"PRAKASAM","DONAKONDA","PolePalle",79.430973,15.87979,72.23875,63.4775,64.77125,79.09625,81.33,70.6075,63.2075,63.0725,59.325,55.8925
17,1314002,"KURNOOL","PAMULAPADU","Jutur",78.448881,15.870672,82.19375,75.68125,78.95,81.5375,83.4875,77.8175,79.24,76.735,70.1225,66.6
18,806004,"PRAKASAM","PEDAARAVEEDU","Ambapuram",79.335029,15.893988,71.44875,63.965,64.94375,79.03375,81.70375,70.49375,62.4525,63.7475,59.615,56.1725
19,1314003,"KURNOOL","PAMULAPADU","Chelimella",78.480902,15.863307,84.32875,74.8725,78.905,82.37875,84.72375,77.59625,77.5975,76.3775,69.4325,65.41
20,1302015,"KURNOOL","KOSIGI","Yandapalle",77.215956,15.869363,80.7525,73.22625,73.13625,77.11875,77.84,71.085,73.56,74.54,64.27,62.735
21,804019,"PRAKASAM","KURICHEDU","Dekanakonda",79.671579,15.883023,75.865,62.8425,62.5025,76.58875,80.0275,71.96625,63.7325,61.025,57.0575,53.755
22,757017,"GUNTUR","BAPATLA","BapatlaWestRural",80.435648,15.887003,79.58125,68.0025,67.725,84.0625,84.1725,76.4825,63.9,62.975,63.3,58.3525
23,807016,"PRAKASAM","DORNALA","ChilakaCherlaGudem",79.004664,15.885889,81.295,75.91,78.61375,87.77375,88.89,80.11125,74.9925,74.7825,69.67,67.125
24,1307001,"KURNOOL","KURNOOL","Sunkesula",77.834714,15.870627,77.33,70.1775,74.1275,78.03625,80.2375,72.70875,75.8725,72.63,61.89,59.38
25,1315003,"KURNOOL","JUPADUBUNGALOW","Tangadancha",78.353557,15.866583,82.19375,75.68125,78.95,81.5375,83.4875,77.8175,79.24,76.735,70.1225,66.6
26,820013,"PRAKASAM","MARTUR","BollaPalle",80.09087,15.883023,77.64,61.84625,62.55375,79.68875,80.09125,72.6125,62.6075,59.7525,57.6125,53.1175
27,1301010,"KURNOOL","KOWTHALAM","Chudi",77.14523,15.85101,81.01125,73.465,72.505,76.78875,77.33,70.91625,73.4325,74.1725,65.04,63.2825
28,814004,"PRAKASAM","MUNDLAMURU","Purimetla",79.845342,15.879728,75.7425,62.385,61.86,76.40125,79.50375,72.0725,63.455,60.325,56.6475,53.2575
29,1305005,"KURNOOL","CBELAGAL","Kothakota1",77.797096,15.863397,77.33,70.1775,74.1275,78.03625,80.2375,72.70875,75.8725,72.63,61.89,59.38
30,1307008,"KURNOOL","KURNOOL","Nidzur",77.97209,15.86234,77.585,69.73875,74.47375,78.34875,81.1775,73.26375,75.5525,73.175,62.05,59.6175
31,1302024,"KURNOOL","KOSIGI","Kosigi1",77.247141,15.839242,81.10125,73.54125,73.82375,77.2325,77.49125,71.605,74.3875,76.56,64.275,63.28
32,757019,"GUNTUR","BAPATLA","Adivi",80.486393,15.850878,79.8575,70.695,68.9125,83.86125,83.09875,76.7875,64.62,64.61,65.4025,61.1325
33,814010,"PRAKASAM","MUNDLAMURU","Marella",79.886427,15.871709,76.495,62.745,62.19,77.4025,79.64125,72.37375,63.6125,60.0225,56.9525,53.3925
34,814006,"PRAKASAM","MUNDLAMURU","Vemula1",79.76763,15.869017,75.7425,62.385,61.86,76.40125,79.50375,72.0725,63.455,60.325,56.6475,53.2575
35,1303013,"KURNOOL","MANTRALAYAM","Sunkeswari",77.346557,15.85722,80.41125,72.46125,73.08375,76.66375,77.725,70.73125,73.0175,74.425,62.6275,61.7475
36,1308007,"KURNOOL","NANDIKOTKUR","Allur1",78.201215,15.870373,78.9925,73.0175,76.4425,79.3275,82.28,75.91125,77.81,75.9925,66.5975,63.525
37,807013,"PRAKASAM","DORNALA","Nallaguntla",78.925441,15.869878,86.37,80.00875,83.97875,91.52375,93.1,84.5275,79.68,79.685,74.1675,71.1675
38,804018,"PRAKASAM","KURICHEDU","Peddavaram",79.638402,15.869502,74.58125,63.11375,63.18875,77.06125,80.4925,71.65,63.89,61.465,57.735,54.5575
39,1311007,"KURNOOL","ATMAKURKURNOOL","Krishnapuram1",78.639276,15.877106,86.43,77.58,80.4475,84.4675,87.00875,80.45375,78.31,79.07,72.6175,68.2875
40,825001,"PRAKASAM","INKOLLU","Nagandla",80.146407,15.880184,77.64,61.84625,62.55375,79.68875,80.09125,72.6125,62.6075,59.7525,57.6125,53.1175
