"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","11-12-19","12-12-19","13-12-19","14-12-19","15-12-19","16-12-19","17-12-19","18-12-19","19-12-19"
1,826001,"PRAKASAM","JANAKAVARAMPANGULU","Ramakuru",80.03999,15.892867,9.52383756637573,13.9220990180969,13.8574195861816,12.517449760437,13.3804490089417,11.0395568847656,11.3281394004822,9.44724397659302,11.6539672851563
2,1315004,"KURNOOL","JUPADUBUNGALOW","Bollavaram",78.377097,15.885363,10.4521041870117,15.306018447876,11.5610195159912,14.5068420410156,15.8518758773804,14.0978244781494,13.8453063011169,15.2774642944336,7.17489023208618
3,1330889,"KURNOOL","ATMAKURKURNOOL","Pinnapuram",78.654945,15.886427,11.9745037078857,17.0736139297485,15.5964128494263,13.3833449363709,13.7108679771423,15.1605525970459,11.1164869308472,11.5618958473206,12.8618702888489
4,820009,"PRAKASAM","MARTUR","LakkavaramAgraharam",80.061727,15.906479,10.5093172073364,14.2271198272705,13.3587724685669,12.533009147644,13.6753177642822,10.7542187690735,11.2228002548218,10.9989701271057,11.157283115387
5,1303014,"KURNOOL","MANTRALAYAM","Budur",77.380195,15.868793,9.96467170715332,12.7549638748169,12.3449017524719,12.4793572425842,12.0029943466187,10.9803105354309,12.0245284080505,10.7504868507385,9.07016487121582
6,805004,"PRAKASAM","DONAKONDA","PadamaraLakshmipuram",79.387233,15.888066,10.2321158409119,12.6851586341858,10.1222997665405,13.6768292427063,11.1452565193176,10.4014366149902,13.0318244934082,7.6301516532898,6.74675302505493
7,822002,"PRAKASAM","KARAMCHEDU","Karamchedu1",80.321381,15.887126,9.9708592414856,14.121736907959,12.0571483612061,12.1985381126404,11.4725289344788,13.0017065048218,10.8159593582153,10.4301864624023,11.6979992866516
8,806008,"PRAKASAM","PEDAARAVEEDU","BoyadaGumpula",79.243357,15.885803,8.15353174209595,9.99004583358765,7.24315481185913,8.34585771560669,11.1898927688599,9.30117130279541,6.41273946762085,7.47453460693359,5.80745329856873
9,1301011,"KURNOOL","KOWTHALAM","Thippaladoddi",77.165642,15.871667,10.9952442169189,12.5669285774231,13.1603430747986,13.2474431991577,12.9773408889771,11.8742448806763,13.0992590904236,11.4585247993469,10.4322712898254
10,1307007,"KURNOOL","KURNOOL","G.Singavaram1",77.934328,15.87304,10.8766940116882,13.9318588256836,12.3833041191101,12.1308031082153,13.7012051582336,10.487682723999,13.8217998504639,10.8044443130493,7.40780296325684
11,806007,"PRAKASAM","PEDAARAVEEDU","ThokaPalle",79.291841,15.882713,10.4509634971619,11.3662799835205,7.86542129516602,11.6218477249146,10.8359965324402,9.68637857437134,7.78121795654297,7.25237560272217,5.7631826877594
12,1301001,"KURNOOL","KOWTHALAM","Nadichagi",77.050836,15.858904,10.8518039703369,12.7211483001709,12.0466898918152,13.2423697471619,14.0297006607056,12.3709874153137,13.7888065338135,12.3097420692444,9.53805885314941
13,1303015,"KURNOOL","MANTRALAYAM","Chilakaladona",77.417441,15.866402,9.96467170715332,12.7549638748169,12.3449017524719,12.4793572425842,12.0029943466187,10.9803105354309,12.0245284080505,10.7504868507385,9.07016487121582
14,756005,"GUNTUR","KARLAPALEM","Perali",80.564029,15.892302,10.8521146774292,17.0415149688721,14.943141746521,15.9349994659424,14.3763570785522,15.0697402954102,14.4381465911865,14.9955619812012,13.9090141296387
15,806005,"PRAKASAM","PEDAARAVEEDU","Cumbampadu",79.334104,15.878309,10.4509634971619,11.3662799835205,7.86542129516602,11.6218477249146,10.8359965324402,9.68637857437134,7.78121795654297,7.25237560272217,5.7631826877594
16,805003,"PRAKASAM","DONAKONDA","PolePalle",79.430973,15.87979,10.2321158409119,12.6851586341858,10.1222997665405,13.6768292427063,11.1452565193176,10.4014366149902,13.0318244934082,7.6301516532898,6.74675302505493
17,1314002,"KURNOOL","PAMULAPADU","Jutur",78.448881,15.870672,10.4521041870117,15.306018447876,11.5610195159912,14.5068420410156,15.8518758773804,14.0978244781494,13.8453063011169,15.2774642944336,7.17489023208618
