"DISTRICT","MANDAL","11-12-19","12-12-19","13-12-19","14-12-19","15-12-19","16-12-19","17-12-19","18-12-19","19-12-19"
"ANANTAPUR","AGALI",15.601837348938,15.2762386322021,14.2540904045105,13.2487195014954,13.8783562660217,13.7975149154663,15.8817346572876,15.2582536697388,15.2257461547852
"ANANTAPUR","AMADAGUR",11.0749774932861,12.5936742782593,12.3794374465942,14.7043573379517,13.125191116333,12.3220373153687,14.3690700531006,13.9483177185059,14.6447908401489
"ANANTAPUR","AMARAPURAM",14.4173429489136,15.6132150650024,15.5245176315308,15.2976121902466,14.7905811309814,14.517333984375,15.7415731430054,16.1837797164917,14.7989410400391
"ANANTAPUR","ANANTAPURMANDAL",12.818631362915,16.7200635910034,13.322811126709,18.130689239502,16.8075902938843,15.8255344390869,15.0083885192871,14.5106117248535,12.29946641922
"ANANTAPUR","ATMAKUR",13.7180219650269,16.8098012924194,14.7450788497925,20.4589393615723,18.3562437057495,17.1621912002563,16.5540584564209,16.3458246231079,13.6535571098328
"ANANTAPUR","BATHALAPALLE",12.7786557197571,15.8385395050049,15.1582883834839,15.8960220336914,14.4808027267456,13.3310105323792,13.4601307868958,12.8248377799988,11.835798740387
"ANANTAPUR","BELUGUPPA",14.9272819519043,17.7009143829346,15.9834045410156,20.4749485015869,18.8582227706909,17.64931640625,16.8498052597046,17.4935628890991,14.6486480712891
"ANANTAPUR","BOMMANAHAL",15.2403305053711,16.2299205780029,15.0142490386963,15.3684379577637,13.3389653205872,13.4392722129822,12.7952922821045,15.2206924438477,12.6747885704041
"ANANTAPUR","BRAHMASAMUDRAM",13.674790763855,15.2954183578491,14.9598735809326,15.0046754837036,14.294896030426,13.8474606513977,14.7711044311523,15.5419481277466,13.9616086006165
"ANANTAPUR","BUKKAPATNAM",13.1125525474548,14.2280167579651,13.0209145545959,13.7132935523987,13.6151427268982,13.9762041091919,13.3421582221985,13.0500643730164,12.9197064399719
"ANANTAPUR","BUKKARAYASAMUDRAM",13.6335062026978,15.2450391769409,13.2327558517456,16.661008644104,14.9414663314819,14.5250690460205,12.339605140686,12.663795375824,11.8208041191101
"ANANTAPUR","CHENNEKOTHAPALLE",11.6171579360962,12.2277050971985,11.9692113876343,13.0459650993347,13.5125338554382,13.521324634552,13.5804087638855,13.6401065826416,12.3612902641296
"ANANTAPUR","CHILAMATHUR",13.0096123695374,15.2405330657959,16.2349880218506,15.0524591445923,13.3264975547791,12.9117310523987,15.1877025604248,14.6332071304321,15.919434928894
"ANANTAPUR","DHARMAVARAM",12.3387605667114,15.7715452194214,13.4480372428894,14.0363894462585,14.4808027267456,12.9856561660767,12.8733819007874,12.9045830726624,12.3612902641296
"ANANTAPUR","DHIRCHAL",11.7541102409363,14.5633993148804,14.8460020065308,13.1502837181091,13.1568222999573,13.1154725074768,14.2543307304382,14.2454678535461,12.1227041244507
"ANANTAPUR","GANDLAPENTA",11.3807767868042,13.5512709617615,13.9433017730713,16.3186386108398,13.1083914756775,11.8454383850098,13.6183407783508,13.8032475471497,12.7143376350403
"ANANTAPUR","GARLADINNE",10.1714541435242,13.0742420196533,10.8273362159729,15.4620998382568,14.2574146270752,13.1693741798401,12.5686305999756,12.8573521614075,11.529506778717
"ANANTAPUR","GOOTY",13.1904670715332,14.8819375991821,13.8414010047913,16.4930603027344,15.5806800842285,13.4956861495972,14.8520839691162,14.3059965133667,11.6720423698425
"ANANTAPUR","GORANTLA",13.7100465774536,15.2405330657959,16.2349880218506,15.0969984054565,13.3130564689636,13.9016283988953,14.3474381446838,14.5138475418091,15.5347366333008
"ANANTAPUR","GUDIBANDA",15.0523063659668,15.6132150650024,15.3580781936646,14.7967866897583,14.7905811309814,14.7650842666626,16.0979301452637,15.8057229995728,15.1007595062256
"ANANTAPUR","GUMMAGATTA",12.6897754669189,15.0008354187012,13.6638507843018,14.9968254089355,14.2074354171753,14.323371219635,14.1648127555847,15.2466493606567,13.364178943634
"ANANTAPUR","GUNTAKAL",12.4625567436218,16.1276601791382,14.902868270874,17.2079835891724,15.0715633392334,14.3908967971802,13.6237781524658,13.9149235725403,12.0015343666077
"ANANTAPUR","HINDUPUR",13.1062405586243,13.053150844574,12.8375896453857,14.3142929077148,12.9307262420654,12.8035363197327,14.8367357254028,13.9684750556946,15.0061431884766
"ANANTAPUR","KADIRI",11.4164463043213,13.5512709617615,13.9433017730713,16.2440139770508,13.7080638885498,12.6903874397278,13.6183407783508,13.4785706520081,12.2401608467102
"ANANTAPUR","KALYANDURG",14.9272819519043,17.691287612915,15.9834045410156,20.4749485015869,18.8582227706909,17.64931640625,16.8498052597046,17.4935628890991,14.5936323165894
