"DISTRICT","D20191211","D20191212","D20191213","D20191214","D20191215","D20191216","D20191217","D20191218","D20191219"
"Srikakulam",0.25,0.36,0.27,0,0.04,0,0,0.15,0.13
"Vizianagaram",0.19,0.45,0.55,0.01,0.01,0,0,0.05,0.03
"Visakhapatnam",0.4,0.22,0.73,0.14,0,0,0.01,0.03,0.12
"East Godavari",0.15,0.24,0.6,0.1,0.04,0,0.01,0.01,0.04
"West Godavari",0.06,0.11,0.41,0.02,0.01,0,0,0,0.01
"Krishna",0.03,0.21,0.47,0.07,0.17,0.03,0.01,0.01,0.02
"Guntur",0.1,0.12,0.16,0.04,0.11,0.06,0.04,0,0.01
"Prakasam",0.1,0.16,0.07,0.37,0.43,0.16,0.07,0.01,0
"Kurnool",0,0,0,0,0,0,0,0,0
"Anantapur",0.01,0,0,0,0,0,0.01,0,0
"Kadapa",0.01,0.02,0.01,0.55,0.04,0.03,0.04,0,0
"Chittoor",0,0.07,0.23,1.15,0.03,0.22,0.04,0.01,0
"Nellore",0.04,0.07,0.24,1.1,0.12,0.26,0.03,0.01,0.02
