"DISTRICT","D20190807","D20190808","D20190809","D20190810","D20190811","D20190812","D20190813","D20190814","D20190815","D20190816"
"Srikakulam",28.25,31.91,32.85,33.68,34.53,33.53,32.61,34.01,33.74,33.6
"Vizianagaram",27.83,31.87,33.66,34.44,34.61,34.08,33.2,34.17,34.03,33.77
"Visakhapatnam",25.95,28.23,30.55,31.69,31.9,31.71,31.65,31.63,31.25,31.02
"East Godavari",28.24,31.1,32.54,33.21,33.93,33.97,33.89,32.97,32.59,32.63
"West Godavari",30.01,32.55,33.42,33.89,34.29,34.52,34.15,33.49,33.29,33.22
"Krishna",31.37,33.33,34.13,34.19,34.76,35.27,34.61,34.27,34.22,34.2
"Guntur",32.68,33.57,33.99,34.24,35.02,35.75,35.18,35.15,35.11,35.1
"Prakasam",31.86,32.75,32.98,32.96,34.38,35.07,34.37,34.59,34.33,34.18
"Kurnool",30.04,31.3,30.31,30.56,32.5,32.93,31.72,31.81,31.44,31.5
"Anantapur",31.5,32.12,31.32,30.54,32.31,33.25,31.43,31.93,32.05,31.83
"Kadapa",34.15,34.03,34.59,33.41,35.75,36.23,35.06,34.66,34.2,33.75
"Chittoor",35.07,34.13,34.89,32.86,34.74,35.82,35.23,34.3,34.19,33.29
"Nellore",36.21,35.97,36.6,35.57,37.4,38.73,37.27,36.95,36.56,35.82
