"DISTRICT","D20190807","D20190808","D20190809","D20190810","D20190811","D20190812","D20190813","D20190814","D20190815","D20190816"
"Srikakulam",32.37,3.27,2.45,5.23,8.83,5.32,7.21,3.24,3.06,4.35
"Vizianagaram",31.65,5.35,2.63,3.05,5.38,6.97,2.83,2.5,3.25,3.67
"Visakhapatnam",45.36,10.08,4.99,1.28,1.86,4.79,1.98,3.25,3.63,4.18
"East Godavari",27.67,13.17,4.16,1.01,0.19,1.14,1.56,6.06,5.11,3.69
"West Godavari",17.6,7.42,1.43,0.67,0.06,0.52,1.69,4.43,6.71,7.96
"Krishna",9.48,2.48,0.49,0.53,0.19,0.22,1.19,1.29,5.3,6.79
"Guntur",9.69,1.88,0.12,0.37,0.22,0.05,0.45,1.24,3.71,6.08
"Prakasam",6.75,4.3,0.07,0.06,0.24,0.14,0.2,1.32,2.66,2.15
"Kurnool",7.37,4.21,0.33,0.15,0.55,0.94,0.61,2.67,4.07,2.63
"Anantapur",4.14,1.41,1.42,0.64,0.48,0.6,1.79,1.94,3.36,3.79
"Kadapa",1.28,1.89,0.05,0.09,0.05,0.8,0.87,1.42,2.8,3.24
"Chittoor",0.97,1.29,0.18,0.05,0.1,1.12,2.86,2.92,4.02,14.37
"Nellore",0.53,1.44,0.04,0.03,0.03,0.76,2.24,4.28,6.58,4.62
