"DISTRICT","MANDAL","07-08-19","08-08-19","09-08-19","10-08-19","11-08-19","12-08-19","13-08-19","14-08-19","15-08-19","16-08-19"
"KRISHNA","CHATRAI",14.94,5.13,0.800000000000001,0.799999999999997,0.0299999999999976,0.550000000000001,1.56,3.39,6.84,7.81
"KRISHNA","GAMPALAGUDEM",13.44,2.66,0.9,1.16,0.300000000000001,0.369999999999999,1.06,2.72,4.49,5.24
"KRISHNA","GANNAVARAM",11.67,2.9,0.559999999999999,0.859999999999999,0.219999999999999,0.18,1.22,0.550000000000001,4.69,6.89
"KRISHNA","GHANTASALA",7.87,2.86,0.35,0.390000000000001,0.49,0.0299999999999994,1.23,1.13,8.11,9.31
"KRISHNA","GKONDURU",14.02,2.79,0.550000000000001,0.73,0.18,0.0700000000000003,0.92,1.8,5.89,6.56
"KRISHNA","GUDIVADA",8.74,3.64,0.850000000000001,0.73,0.859999999999999,0.550000000000001,1.68,1.06,6.99,8.39
"KRISHNA","GUDLAVALLERU",8.13,2.99,0.51,0.73,0.34,0.120000000000001,1.28,1.01,8.51,8.55
"KRISHNA","GUDURKRISHNA",7.68,2.16,0.51,0.390000000000001,0.49,0.0299999999999994,1.16,1.56,8.51,8.55
"KRISHNA","IBRAHIMPATNAM",14.02,2.22,0.290000000000001,0.43,0.0600000000000023,0.31,0.859999999999999,1.61,5.46,6.41
"KRISHNA","JAGGAYYAPETA",9.85,1.47,0.4,0.91,0.209999999999999,0.550000000000001,0.550000000000001,2.14,5.37,4.67
"KRISHNA","KAIKALUR",10.66,5.68,1.45,0.669999999999998,0.42,1.19,2.9,2.72,8.09,10.93
"KRISHNA","KALIDINDI",10.66,4.93,1.44,0.669999999999998,0.42,1.19,2.9,2.99,10.16,9.83
"KRISHNA","KANCHIKACHERLA",12.96,1.7,0.26,0.460000000000001,0.149999999999999,0.31,0.670000000000002,2.32,5.34,6.04
"KRISHNA","KANKIPADU",8.88,2.84,0.33,0.610000000000001,0.219999999999999,0.15,1.22,0.43,4.77,7.72
"KRISHNA","KODURU",6.92,1.87,0.46,0.31,0.489999999999999,0.31,2.2,0.83,7.69,9.31
"KRISHNA","KRUTHIVENNU",8.38,3.14,1.27,0.460000000000001,0.18,0.850000000000001,2.65,2.23,10.13,9.8
"KRISHNA","MACHILIPATNAM",7.39,2.13,0.74,0.550000000000001,0.67,0.31,2.2,1.95,9.09,9.31
"KRISHNA","MANDAVALLI",10.42,5.68,1.45,0.609999999999999,0.77,1.1,2.47,2.14,6.25,10.93
"KRISHNA","MOPIDEVI",7.25,2.45,0.37,0.31,0.52,0.120000000000001,2.07,0.85,7.69,9.68
"KRISHNA","MOVVA",7.87,2.87,0.470000000000001,0.640000000000001,0.49,0.0299999999999994,1.28,1.13,8.11,9.25
"KRISHNA","MUDINAPALLE",8.98,3.64,0.850000000000001,0.609999999999999,0.77,0.859999999999999,2.47,2.14,10.13,9.8
"KRISHNA","MUSUNURU",11.85,3.94,0.550000000000001,0.549999999999999,0,0.450000000000003,1.56,2.07,5.04,6.16
"KRISHNA","MYLAVARAMKRISHNA",11.22,2.92,0.6,0.92,0.300000000000001,0.0899999999999999,1.16,1.83,5.89,6.23
"KRISHNA","NAGAYALANKA",5.77,2.12,0.31,0.49,0.73,0.18,2.17,0.58,6.99,10.23
"KRISHNA","NANDIGAMA",11.76,2.36,0.48,0.52,0.180000000000001,0.33,0.879999999999999,2.63,5.52,6.59
"KRISHNA","NANDIVADA",10.9,5.13,1.36,0.609999999999999,0.859999999999999,0.73,2.14,1.22,5.44,10.31
"KRISHNA","NUZVID",11.38,3.91,0.75,0.880000000000001,0.0299999999999994,0.24,1.77,1.4,4.69,6.56
"KRISHNA","PAMARRU",8.13,2.89,0.470000000000001,0.73,0.34,0.0899999999999999,1.28,0.77,7.38,9.25
"KRISHNA","PAMIDIMUKKALA",7.9,3.18,0.49,0.700000000000001,0.399999999999999,0.0299999999999994,1.37,1.34,7.85,9.62
"KRISHNA","PEDANA",7.74,2.99,0.68,0.550000000000001,0.300000000000001,0.219999999999999,1.4,1.34,9.49,8.7
"KRISHNA","PEDAPARUPUDI",8.87,3.24,0.5,0.73,0.859999999999999,0.33,1.59,0.73,5.28,8.24
"KRISHNA","PENAMALURU",9.25,2.67,0.44,0.610000000000001,0.0899999999999999,0.0600000000000005,1.19,0.27,4.77,7.72
"KRISHNA","PENUGANCHIPROLU",10.02,1.96,0.4,0.549999999999999,0.180000000000001,0.33,0.819999999999999,2.63,5.52,5.65
"KRISHNA","REDDIGUDEM",11.66,3.04,0.719999999999999,0.92,0.119999999999999,0.210000000000001,1.31,1.25,3.88,6.71
"KRISHNA","THOTLAVALLURU",8,2.63,0.380000000000001,0.610000000000001,0.0899999999999999,0.0299999999999994,1.13,0.58,6.47,9.62
"KRISHNA","TIRUVURU",13.92,4.05,1.29,1.19,0.209999999999999,0.309999999999999,1.06,3.57,4.43,5.24
"KRISHNA","UNGUTURU",10.55,3.26,0.779999999999999,0.549999999999999,0.610000000000001,0.24,1.28,0.640000000000001,3.69,7.72
"KRISHNA","VATSAVAI",10.69,2.01,0.4,0.799999999999999,0.16,0.549999999999999,0.699999999999999,1.9,5.16,4.83
"KRISHNA","VEERULLAPADU",14.02,2.79,0.48,0.550000000000001,0.18,0.280000000000001,0.879999999999999,2.5,5.46,6.59
"KRISHNA","VIJAYAWADARURAL",9.7,2.19,0.19,0.49,0,0.0299999999999994,0.98,0.369999999999999,3.48,4.79
"KRISHNA","VIJAYAWADAURBAN",12.23,2.86,0.520000000000001,0.550000000000001,0.0300000000000011,0.0899999999999999,1.19,0.82,4.73,6.1
"KRISHNA","VISSANNAPET",13.92,4.05,1.29,0.880000000000001,0.0299999999999976,0.390000000000001,1.25,3.57,4.3,5.73
"KRISHNA","VUYYURU",7.82,2.57,0.309999999999999,0.700000000000001,0.279999999999999,0.0299999999999994,1.37,0.459999999999999,4.77,8.24
"KURNOOL","ADONI",10.69,3.43,0.9,0.300000000000001,1.19,1.16,1.19,2.96,7.08,8.24
"KURNOOL","ALLAGADDA",7.27,12.69,0.0599999999999987,0.0899999999999999,0.370000000000001,2.6,1.22,6.5,10.96,3.63
"KURNOOL","ALUR",8.39,2.69,1.22,0.43,0.700000000000001,1.32,1.46,2.84,7.08,4.06
"KURNOOL","ASPARI",7.39,3.54,0.77,0.300000000000001,0.76,1.07,1.13,1.62,7.08,4.94
"KURNOOL","ATMAKURKURNOOL",12.31,11.74,0.300000000000001,0.670000000000002,1.47,1.43,0.920000000000002,4.77,7.72,5.37
"KURNOOL","BANAGANAPALLE",3.71,3.45,0.17,0.12,0.25,1.53,1.04,2.78,6.4,2.1
"KURNOOL","BANDIATMAKUR",21.74,19.54,0.68,0.609999999999999,1.77,2.44,1.4,7.84,8.45,5.7
"KURNOOL","BETHAMCHERLA",8.07,4.5,0.21,0.0300000000000011,0.49,0.52,0.19,1.53,2.93,1.68
"KURNOOL","CBELAGAL",13.77,2.57,1.16,0.0600000000000005,0.609999999999999,0.370000000000001,0.119999999999999,3.17,2.96,1.25
"KURNOOL","CHAGALAMARRI",5.54,9.41,0.0300000000000011,0.0600000000000005,0.18,2.29,1.22,6.5,10.44,4.42
"KURNOOL","CHIPPAGIRI",12.47,1.87,1.24,0.520000000000001,0.880000000000001,1.44,2.05,2.48,4.48,3.69
"KURNOOL","DEVANAKONDA",6.76,3.54,0.289999999999999,0.120000000000001,0.700000000000001,0.640000000000001,1.13,1.62,4.67,4.94
"KURNOOL","DHONE",7.42,3.29,0.800000000000001,0.120000000000001,0.58,0.77,0.67,1.5,3.91,2.56
"KURNOOL","DORNIPADU",3.14,3.92,0.0500000000000007,0.12,0.49,2.6,1.22,3.78,10.44,2.72
"KURNOOL","GADIVEMULA",10.66,6.34,0.199999999999999,0.360000000000001,0.74,1.8,0.610000000000001,6.74,7.14,3.6
"KURNOOL","GONEGANDLA",13.77,3.18,0.32,0.0700000000000003,0.950000000000001,0.610000000000001,0.610000000000001,3.57,2.9,2.87
"KURNOOL","GOSPADU",4.55,5.32,0.0800000000000001,0.15,0.860000000000001,2.78,1.22,6.08,8.12,2.84
