"DISTRICT","MANDAL","2019-08-07 05:30:00","2019-08-07 08:30:00","2019-08-07 11:30:00","2019-08-07 14:30:00","2019-08-07 17:30:00","2019-08-07 20:30:00","2019-08-07 23:30:00","2019-08-08 02:30:00","2019-08-08 05:30:00","2019-08-08 08:30:00","2019-08-08 11:30:00","2019-08-08 14:30:00","2019-08-08 17:30:00","2019-08-08 20:30:00","2019-08-08 23:30:00","2019-08-09 02:30:00","2019-08-09 05:30:00","2019-08-09 08:30:00","2019-08-09 11:30:00","2019-08-09 14:30:00","2019-08-09 17:30:00","2019-08-09 20:30:00","2019-08-09 23:30:00","2019-08-10 02:30:00","2019-08-10 05:30:00","2019-08-10 08:30:00","2019-08-10 11:30:00","2019-08-10 14:30:00","2019-08-10 17:30:00","2019-08-10 20:30:00","2019-08-10 23:30:00","2019-08-11 02:30:00","2019-08-11 05:30:00","2019-08-11 08:30:00","2019-08-11 11:30:00","2019-08-11 14:30:00","2019-08-11 17:30:00","2019-08-11 20:30:00","2019-08-11 23:30:00","2019-08-12 02:30:00","2019-08-12 05:30:00","2019-08-12 08:30:00","2019-08-12 11:30:00","2019-08-12 14:30:00","2019-08-12 17:30:00","2019-08-12 20:30:00","2019-08-12 23:30:00","2019-08-13 02:30:00","2019-08-13 05:30:00","2019-08-13 11:30:00","2019-08-13 17:30:00","2019-08-13 23:30:00","2019-08-14 05:30:00","2019-08-14 11:30:00","2019-08-14 17:30:00","2019-08-14 23:30:00","2019-08-15 05:30:00","2019-08-15 11:30:00","2019-08-15 17:30:00","2019-08-15 23:30:00","2019-08-16 05:30:00","2019-08-16 11:30:00","2019-08-16 17:30:00","2019-08-16 23:30:00","2019-08-17 05:30:00"
"VISHAKAPATNAM","CHODAVARAM",28.08,29.34,30.816,30.924,30.492,28.692,27.936,29.088,29.988,29.592,31.284,26.172,23.58,20.376,19.188,19.548,22.392,22.932,21.528,21.132,18.828,19.044,15.372,14.616,15.336,18.072,10.8,12.672,8.82,15.66,12.132,13.572,13.356,10.08,6.516,5.148,5.544,2.952,7.776,11.412,8.64,5.544,7.884,6.408,2.7,4.896,5.94,9.144,10.8,6.912,5.22,8.964,15.768,10.476,5.976,7.272,18.432,6.084,4.932,7.272,12.168,7.416,5.112,5.292,11.124
"VISHAKAPATNAM","DEVARAPALLEVISAKHAPATNAM",23.94,24.48,26.676,28.944,25.38,25.128,24.84,25.632,28.224,27.36,28.728,26.172,23.292,18.036,15.444,17.172,19.944,20.484,19.548,21.132,16.776,16.272,12.708,10.116,11.016,12.096,10.8,8.892,5.148,9.972,8.028,10.008,8.244,5.184,6.444,6.696,5.544,1.98,4.212,5.94,5.58,2.844,6.66,6.732,2.772,4.896,5.256,7.812,5.976,5.148,4.68,5.616,10.188,7.992,5.112,5.004,15.048,5.724,6.336,4.716,5.076,7.2,5.4,4.5,6.192
"VISHAKAPATNAM","DUMBRIGUDA",35.892,35.748,38.556,39.312,40.14,36.864,39.744,37.836,35.172,31.968,30.204,31.212,25.38,22.176,20.34,24.48,26.568,27.576,24.696,22.572,18.216,20.052,21.564,22.176,25.812,27.576,16.92,16.776,13.86,18.468,19.548,23.148,24.372,23.94,18.072,15.624,16.452,15.552,16.812,18.972,22.212,26.424,18.504,14.4,12.132,11.844,14.148,16.344,20.124,23.22,12.456,12.636,18.72,17.676,14.148,11.736,15.048,14.652,11.88,13.536,16.632,16.272,8.496,10.224,12.708
"VISHAKAPATNAM","GAJUWAKA",27.72,28.728,28.584,29.088,27.54,25.812,24.516,26.136,29.484,31.752,32.112,27.864,25.704,22.032,19.584,18.108,18.684,20.556,21.204,24.12,18.54,16.704,12.132,11.88,15.66,16.92,12.06,19.728,17.964,15.444,12.24,12.636,11.808,9.108,6.3,12.42,6.84,8.676,4.356,8.712,6.696,6.984,5.94,10.872,4.932,2.664,7.524,4.716,6.408,6.192,6.12,6.48,16.668,11.124,11.412,7.308,17.856,12.24,13.248,8.604,13.248,8.46,10.764,4.788,11.52
"VISHAKAPATNAM","GANGARAJUMADUGULA",32.4,31.284,37.008,40.464,37.8,33.768,35.532,35.1,33.3,29.628,30.096,25.128,20.412,21.168,21.204,21.744,23.004,27.792,24.012,16.308,14.076,17.316,18.828,20.844,24.444,26.172,18.9,16.848,14.544,17.64,18.504,21.024,23.04,26.892,19.548,16.668,15.156,15.912,15.876,18.756,22.86,27.684,18.144,15.516,13.644,12.132,13.86,16.632,19.944,22.176,12.96,13.14,17.892,17.892,13.032,10.008,12.816,14.868,9.936,12.816,15.912,17.136,8.64,9.612,14.004
"VISHAKAPATNAM","GOLUGONDA",23.04,26.64,24.984,25.848,27.36,21.708,24.156,24.516,22.464,25.128,27.936,24.372,19.692,14.868,16.668,14.796,15.84,20.808,19.98,18.54,14.472,11.628,9,10.692,12.276,15.84,13.788,15.048,13.5,11.916,9.612,11.196,11.268,13.68,11.124,9.36,8.208,7.992,7.38,7.956,8.028,9.324,9,10.188,6.012,8.208,4.392,7.164,7.632,9.108,6.192,7.668,9.972,12.636,5.544,6.48,11.412,11.412,7.452,7.416,11.772,10.584,3.996,5.688,10.8
"VISHAKAPATNAM","GUDEMKOTHAVEEDHI",25.344,23.652,28.908,30.096,28.404,23.58,25.416,26.856,25.308,22.104,22.68,18.828,18.504,13.248,15.768,15.768,15.372,21.672,21.348,14.724,15.84,14.652,14.256,14.328,16.776,23.076,17.928,15.3,13.14,10.548,12.384,13.896,15.912,23.508,17.748,16.092,13.824,13.32,10.8,12.456,16.596,24.624,18.432,13.068,12.564,11.772,11.088,12.06,13.752,21.204,10.332,10.62,11.484,16.38,10.008,7.164,8.1,12.744,6.228,8.784,11.016,15.084,6.84,7.668,9.684
"VISHAKAPATNAM","HUKUMPETA",32.904,34.92,38.556,39.312,40.14,34.92,36.72,36.18,33.624,29.808,29.34,24.66,20.34,21.168,20.952,21.744,21.888,26.388,23.472,21.492,14.148,16.884,18.144,20.628,25.56,27.576,17.28,15.696,13.212,16.992,19.44,22.86,24.372,23.94,18.108,15.048,16.452,15.552,16.812,18.972,22.212,26.424,18.504,14.4,12.708,11.484,12.78,16.416,20.124,23.22,11.268,12.636,18.72,17.676,14.148,9.936,13.5,14.652,10.512,13.536,16.632,16.272,7.308,8.892,12.06
"VISHAKAPATNAM","KASIMKOTA",27,29.556,28.368,28.08,30.6,28.008,27.648,28.08,27.864,29.844,31.284,23.976,23.472,19.764,19.656,18.432,19.044,23.76,21.24,18.288,19.224,16.308,13.86,15.3,14.652,17.424,13.644,19.584,16.848,16.668,12.24,13.716,13.356,12.24,7.056,12.312,7.38,4.608,10.332,11.7,9.936,9.288,6.012,13.608,5.184,7.524,11.304,10.116,10.548,6.444,7.056,11.7,14.616,11.736,8.28,9.612,16.632,9.828,12.564,9.612,15.084,10.224,10.584,7.308,14.076
"VISHAKAPATNAM","KKOTAPADU",28.08,29.34,30.816,30.924,30.492,28.836,27.936,29.088,29.988,29.592,31.284,28.044,24.012,19.44,18.9,19.116,22.608,21.996,21.24,21.132,16.776,19.044,15.624,14.616,14.904,16.632,11.772,13.176,8.244,15.66,12.132,13.572,12.78,8.388,5.256,4.104,5.544,2.952,5.328,10.008,5.76,4.32,6.66,6.408,4.068,4.896,5.58,8.676,8.856,4.428,4.86,8.352,13.716,9.252,5.868,5.688,17.82,6.156,6.768,7.02,11.16,7.416,5.58,5.94,8.748
