"","Time","2m_temperature(C)","Heat_index(C)","2m_relative_humidity(%)","Rainfall(mm)","mean_sea_level_pressure(mb)","Wind_speed(km/h)","wind_direction"
"1",2019-07-23 05:30:00,25.5145206451416,26.02,72.51,0,1005.6794,12.2178774833679,299.46
"2",2019-07-23 08:30:00,29.6573734283447,31.82,57.96,0,1007.3756,14.4132402420044,269.68
"3",2019-07-23 11:30:00,32.6598148345947,35.05,47.84,0,1007.1456,24.3774089813232,275.98
"4",2019-07-23 14:30:00,32.8258304595947,35.64,48.9,0,1005.6088,26.3336345672607,272.15
"5",2019-07-23 17:30:00,29.4864749908447,32.31,62.38,0.02,1006.1206,25.1612817764282,263.14
"6",2019-07-23 20:30:00,26.7850589752197,28.84,74.63,0,1007.6156,17.5878101348877,258.56
"7",2019-07-23 23:30:00,26.1126956939697,27.69,75.54,0,1008.2288,17.6632295608521,261.94
"8",2019-07-24 02:30:00,25.2254886627197,25.92,80.8,0,1007.0306,14.481470489502,270.23
"9",2019-07-24 05:30:00,24.8387699127197,25.53,82.57,0,1007.6256,10.9279242038727,273.55
"10",2019-07-24 08:30:00,28.9964847564697,31.84,65.07,0,1008.7706,13.1971240997314,276.38
"11",2019-07-24 11:30:00,33.5165023803711,37.33,49.93,0,1007.8038,24.1383790969849,278.59
"12",2019-07-24 14:30:00,34.0714340209961,38.1,48.65,0.12,1005.385,26.3795299530029,278.47
"13",2019-07-24 17:30:00,30.1957035064697,34.5,65.84,0.00999999999999998,1005.5506,27.081254196167,266.69
"14",2019-07-24 20:30:00,27.3802738189697,30.39,78.22,0,1007.9238,19.97424659729,275.24
"15",2019-07-24 23:30:00,26.4076175689697,28.38,78.38,0,1009.5725,14.6960025787354,266.3
"16",2019-07-25 02:30:00,26.0309085845947,27.67,78.53,0,1008.2075,13.3669504165649,267.77
"17",2019-07-25 05:30:00,25.6466312408447,27.02,81.19,0,1008.6219,15.2216116905212,269.33
"18",2019-07-25 08:30:00,29.4334964752197,32.92,66.17,0,1010.7712,18.7062037467957,270.29
"19",2019-07-25 11:30:00,33.3343734741211,37.74,52.47,0.02,1010.1706,28.5117822647095,272.56
"20",2019-07-25 14:30:00,33.1983871459961,37.72,53.31,0.24,1007.4831,28.5707359313965,267.1
"21",2019-07-25 17:30:00,29.8856449127197,33.71,65.38,0.03,1007.4831,26.7581428527832,266.13
"22",2019-07-25 20:30:00,26.8219242095947,29.48,81.58,0,1009.5238,20.0057945251465,254.43
"23",2019-07-25 23:30:00,26.1590824127197,28.19,84.44,0,1010.6375,17.3440715789795,254.29
"24",2019-07-26 02:30:00,25.8993167877197,27.6,84.1,0,1008.7925,16.585348033905,260.69
"25",2019-07-26 05:30:00,25.6556644439697,27.09,84.02,0,1008.4956,17.0865812301636,259.58
"26",2019-07-26 08:30:00,28.8172855377197,32.35,70.1,0,1010.4538,20.7254779815674,257.47
"27",2019-07-26 11:30:00,33.4063949584961,37.31,50.61,0,1009.8112,27.0798448562622,274.16
"28",2019-07-26 14:30:00,32.9244632720947,37.16,53.48,0.02,1007.2031,29.2851442337036,270.1
"29",2019-07-26 17:30:00,28.7462406158447,32.72,73.06,0.07,1007.5606,24.1113458633423,258.04
"30",2019-07-26 20:30:00,26.9100589752197,29.64,81.12,0,1009.6456,18.3765177726746,251.14
"31",2019-07-26 23:30:00,26.4793949127197,28.75,81.95,0,1010.4594,16.4587477684021,259.46
"32",2019-07-27 02:30:00,25.8695316314697,27.53,83.72,0,1007.9612,17.5041166305542,262.55
"33",2019-07-27 05:30:00,25.8490238189697,27.46,83.01,0,1007.3038,18.1964269638062,259.08
