"DISTRICT","D20190726","D20190727","D20190728","D20190729","D20190730","D20190731","D20190801","D20190802","D20190803"
"Srikakulam",12.77,12.66,9.95,8.08,8.16,11.22,16.21,18.71,17.15
"Vizianagaram",9.94,9.42,7.14,6.7,6.46,7.8,11.73,14.36,14.3
"Visakhapatnam",17.36,18.03,16.61,13.34,14.49,17.38,20.17,23.98,24.65
"East Godavari",15.44,15.94,13.57,11.68,12.05,14.91,16.16,19.03,20.65
"West Godavari",15.08,15.82,12.75,11.6,10.85,13.46,14.68,17.32,20.25
"Krishna",15.05,16.44,14.17,12.45,10.45,11.8,13.58,16.55,20.26
"Guntur",15.3,14.27,14.81,13.14,11.41,13.57,15.46,17.98,20.22
"Prakasam",16.31,16.99,17.25,14.64,14.14,16.55,18.7,22.08,22.85
"Kurnool",17.25,19.59,20.24,16.69,16.34,19.55,20.94,22.66,23.16
"Anantapur",19.18,22.03,23.43,19.11,18.45,21.38,23.14,25.25,26.61
"Kadapa",14.93,17.95,19.28,15.9,15.95,18.34,21.15,22.28,22.86
"Chittoor",13.2,15.58,16.11,13.46,12.66,15.25,16.87,19.11,21.58
"Nellore",12.5,15.2,15.3,13.03,12.68,15.4,16.96,18.81,19.96
