"DISTRICT","MANDAL","26-07-19","27-07-19","28-07-19","29-07-19","30-07-19","31-07-19","01-08-19","02-08-19","03-08-19"
"ANANTAPUR","AGALI",80.4987301587302,74.6973015873016,69.1907936507937,70.3852380952381,71.9706349206349,69.4627777777778,69.6683333333333,70.1225,69.5666666666667
"ANANTAPUR","AMADAGUR",76.6075892857143,68.4345535714286,61.8545535714286,64.59375,62.5728571428571,59.9911458333333,60.97671875,62.3940625,61.554375
"ANANTAPUR","AMARAPURAM",79.5888888888889,72.8777777777778,67.4030158730159,68.5704761904762,69.5342857142857,67.3796296296296,69.3391666666667,71.6605555555555,72.8630555555555
"ANANTAPUR","ANANTAPURMANDAL",70.463537414966,70.2284353741497,62.476462585034,62.7326530612245,58.5924489795918,57.0314285714286,56.7625,60.9339285714286,63.5407142857143
"ANANTAPUR","ATMAKUR",73.6285714285714,72.9935714285714,65.7253571428571,64.4446428571429,61.3819642857143,58.87625,58.290625,62.62625,65.815
"ANANTAPUR","BATHALAPALLE",68.721038961039,65.0627272727273,57.9697402597403,59.0276623376623,57.5368831168831,56.0269696969697,56.0652272727273,58.9870454545455,61.3797727272727
"ANANTAPUR","BELUGUPPA",74.5012244897959,75.2287755102041,66.535306122449,65.8314285714286,63.624693877551,60.6438095238095,62.2196428571429,66.2035714285714,71.01625
"ANANTAPUR","BOMMANAHAL",75.1397321428571,73.6550892857143,64.4173214285714,64.4947321428571,61.1074107142857,59.0397916666667,62.11171875,66.74046875,77.31671875
"ANANTAPUR","BRAHMASAMUDRAM",75.7002197802198,73.8708791208791,67.6214285714286,67.203956043956,67.430989010989,64.479358974359,66.9963461538461,69.9453846153846,74.2161538461538
"ANANTAPUR","BUKKAPATNAM",73.4908928571429,66.105,59.4826785714286,60.8442857142857,60.2516071428571,57.916875,58.09375,60.2034375,62.59125
"ANANTAPUR","BUKKARAYASAMUDRAM",69.050612244898,68.6337755102041,60.2448979591837,61.7879591836735,57.5787755102041,55.8282142857143,56.0257142857143,60.2069642857143,62.5958928571429
"ANANTAPUR","CHENNEKOTHAPALLE",71.5758441558442,65.2127272727273,59.9351948051948,61.1725974025974,60.854025974026,58.1139393939394,58.6377272727273,61.1397727272727,63.8088636363636
"ANANTAPUR","CHILAMATHUR",80.7984353741497,72.2495238095238,65.4733333333333,68.4802040816326,67.5825850340136,64.9092063492063,65.6372619047619,66.4260714285714,65.6895238095238
"ANANTAPUR","DHARMAVARAM",70.3841836734694,65.3066326530612,59.4968367346939,60.3904081632653,59.4617346938776,57.2033333333333,57.2105357142857,60.1132142857143,62.5935714285714
"ANANTAPUR","DHIRCHAL",76.6835714285714,76.2723015873016,67.1698412698413,67.4646825396825,64.554126984127,62.2755555555556,65.6333333333333,70.20375,78.4680555555556
