"DISTRICT","MANDAL","26-07-19","27-07-19","28-07-19","29-07-19","30-07-19","31-07-19","01-08-19","02-08-19","03-08-19"
"ANANTAPUR","AGALI",22.8405916213989,27.4946147918701,28.8949733734131,24.7581161499023,19.6934669494629,23.4270727157593,28.6998046875,30.4246959686279,31.60305519104
"ANANTAPUR","AMADAGUR",24.7961442947388,28.6037704467773,34.5775554656982,26.2182540893555,23.5081895828247,25.4487630844116,31.5851577758789,35.1096370697022,34.1404918670654
"ANANTAPUR","AMARAPURAM",22.4188367843628,29.2610240936279,30.1448089599609,25.695747756958,20.8988817214966,24.2037683486938,28.2697912216187,30.9047813415527,34.0287746429443
"ANANTAPUR","ANANTAPURMANDAL",30.5824768066406,33.822904586792,35.0096408843994,30.3640445709229,27.5993299484253,32.0688583374023,38.0758255004883,43.9344085693359,45.1424480438232
"ANANTAPUR","ATMAKUR",34.048120880127,36.1751598358154,37.6103107452393,32.6193832397461,28.5454759597778,33.2781269073486,40.2763011932373,45.4997989654541,48.1202442169189
"ANANTAPUR","BATHALAPALLE",25.2331083297729,28.6235012054443,31.108224105835,27.0702541351318,24.5326681137085,26.3518787384033,29.7005493164062,35.6075202941895,36.7206344604492
"ANANTAPUR","BELUGUPPA",32.3075054168701,35.2170146942139,37.6005603790283,33.6616561889648,28.5665010452271,33.2949256896973,39.1329402923584,43.8840087890625,46.3564853668213
"ANANTAPUR","BOMMANAHAL",25.3339765548706,29.4183345794678,30.7328624725342,25.9414346694946,22.8971694946289,26.2464443206787,31.1062637329102,34.6421550750732,31.7454792022705
"ANANTAPUR","BRAHMASAMUDRAM",24.9052076339722,28.6410724639893,29.8616912841797,25.4429712295532,22.2754583358765,26.1335254669189,27.6963581085205,31.8920780181885,33.18332862854
"ANANTAPUR","BUKKAPATNAM",24.1391120910645,25.8687824249268,31.3439254760742,25.4804328918457,23.3844921112061,25.9712917327881,29.0216457366943,33.1524707794189,33.3168571472168
"ANANTAPUR","BUKKARAYASAMUDRAM",26.6161359786987,31.2688407897949,30.7165649414063,26.7543508529663,23.7341337203979,27.6833667755127,32.8791687011719,38.7593227386475,40.3296844482422
"ANANTAPUR","CHENNEKOTHAPALLE",22.9839134216309,26.7858919143677,28.5212665557861,25.6061902999878,21.2290500640869,23.6935804367065,28.2960073471069,32.5802581787109,32.7484039306641
"ANANTAPUR","CHILAMATHUR",22.3101081848145,25.5216367721558,33.6689037322998,25.2815872192383,22.6144020080566,25.3518636703491,29.8245265960693,32.2426071166992,30.9322299957275
"ANANTAPUR","DHARMAVARAM",23.3845006942749,26.0152164459229,30.4089340209961,25.8044094085693,23.4992666244507,25.7003997802734,29.0880683898926,34.6490455627441,33.9290325164795
"ANANTAPUR","DHIRCHAL",26.1290639877319,28.2283624649048,30.5657981872559,26.4167753219605,24.148694229126,28.933765411377,30.3180187225342,33.0177612304688,30.4229244232178
"ANANTAPUR","GANDLAPENTA",25.0296277999878,26.8810575485229,32.3312702178955,24.5345718383789,23.3000553131104,24.5224937438965,30.4278202056885,32.566902923584,33.606909942627
"ANANTAPUR","GARLADINNE",24.2719024658203,29.3264785766602,30.0796085357666,25.1372200012207,22.0486782073975,24.9762617111206,30.0856304168701,35.0419956207275,37.1499320983887
"ANANTAPUR","GOOTY",25.2112180709839,27.0666509628296,32.5313106536865,24.698650932312,26.0051416397095,27.6818183898926,31.0166599273682,35.0914546966553,36.2316707611084
"ANANTAPUR","GORANTLA",24.2425346374512,26.8079898834229,34.3568778991699,24.7608386993408,23.5156293869019,24.845100402832,30.8521499633789,34.0462463378906,33.2861881256104
"ANANTAPUR","GUDIBANDA",24.7356491088867,30.6274005889893,32.5997657775879,27.2993482589722,20.6964071273804,25.8462209701538,29.1550197601318,32.5138973236084,35.1874340057373
"ANANTAPUR","GUMMAGATTA",24.0728576660156,29.7273456573486,30.8235134124756,25.081109046936,22.3791881561279,27.2479579925537,28.8205478668213,33.920597076416,33.18332862854
"ANANTAPUR","GUNTAKAL",24.7801488876343,29.0976230621338,33.2847873687744,27.6736112594605,25.5123275756836,29.5928695678711,32.2482719421387,35.306676864624,34.6346122741699
"ANANTAPUR","HINDUPUR",22.4943471908569,25.1517408370972,27.5121173858643,22.212947845459,20.6503984451294,23.6053945541382,26.4947954177856,30.0563861846924,28.3064065933228
"ANANTAPUR","KADIRI",25.0296277999878,25.891565322876,32.3142757415771,24.5345718383789,23.3000553131104,25.4472988128662,30.4278202056885,32.566902923584,33.2340099334717
"ANANTAPUR","KALYANDURG",32.3075054168701,35.2170146942139,37.6005603790283,33.6616561889648,28.5665010452271,33.2949256896973,39.1329402923584,43.8840087890625,46.3564853668213
"ANANTAPUR","KAMBADUR",28.685436630249,33.0894744873047,34.6579582214355,30.6063411712646,26.2982139587402,30.6696430206299,35.3278186798096,40.1049247741699,41.0693355560303
"ANANTAPUR","KANAGANAPALLE",29.0078063964844,33.2954406738281,34.7667022705078,30.4077701568604,25.564857673645,30.2347183227539,35.834020614624,39.8374282836914,42.0488250732422
"ANANTAPUR","KANEKAL",26.6898302078247,29.5535419464111,31.7223976135254,27.0078706741333,24.83987159729,27.4687831878662,33.9303577423096,35.8124118804932,35.6936634063721
"ANANTAPUR","KOTHACHERUVU",23.1857099533081,24.8087442398071,29.5913246154785,24.5262411117554,22.0493837356567,23.6177198410034,27.1436084747314,32.4217906951904,32.4120643615723
"ANANTAPUR","KUDAIR",30.6461563110352,34.6103977203369,36.027201461792,29.1040431976318,27.0400829315186,31.2127555847168,37.6672233581543,41.9433837890625,45.3129146575928
"ANANTAPUR","KUNDURPI",25.3151659011841,30.2208000183105,32.3679851531982,27.1644035339355,24.1053342819214,27.4500806808472,29.0909214019775,35.2762722015381,34.3401889801025
