"DISTRICT","D20190726","D20190727","D20190728","D20190729","D20190730","D20190731","D20190801","D20190802","D20190803"
"Srikakulam",31.69,30.43,30.7,32.7,31.74,29.42,28.92,27.52,30.35
"Vizianagaram",30.51,30.62,29.44,33.58,32.6,30.11,29.37,27.41,30.67
"Visakhapatnam",27.35,26.99,27.47,30.55,29.97,27.72,26.26,25.5,27.2
"East Godavari",28.47,27.87,28.53,32.41,30.63,29.43,28.55,27.56,28.41
"West Godavari",30.05,29,30.71,33.58,32.01,31.03,30.74,28.84,29.49
"Krishna",32.14,29.86,32.86,34.47,33.6,32.6,32.19,30.86,30.65
"Guntur",33.54,29.44,34,34.68,34.79,34.43,33.69,32.63,31.08
"Prakasam",32.87,30.85,33.29,34.48,35.17,35.45,34.49,32.96,31.4
"Kurnool",31.21,29.78,31.99,32.79,32.82,34.44,32.69,31.78,30.01
"Anantapur",31.29,30.33,31.83,32.49,33.68,34.34,32.83,31.54,31.38
"Kadapa",32.47,32.04,33.6,34.23,35.62,35.9,34.86,33.33,34.68
"Chittoor",32.22,33.8,32.86,34.07,34.37,35.34,34.15,33.75,34.53
"Nellore",33.3,34.61,35.73,35.8,37.35,36.74,36.62,35.23,36.05
