"DISTRICT","D20190726","D20190727","D20190728","D20190729","D20190730","D20190731","D20190801","D20190802","D20190803"
"Srikakulam",93.74,94.7,95.59,91.95,93.3,94.62,93.47,92.83,92.28
"Vizianagaram",95.96,95.78,96.09,91.03,90.68,93.42,93.79,93.91,92.95
"Visakhapatnam",95.2,95.4,94.08,88.06,89.55,92.61,93.34,92.12,90.6
"East Godavari",95.13,94.99,94.15,88.56,90.73,92.22,93.21,92.99,91.5
"West Godavari",94.42,93.69,93.48,83.4,92.04,92.41,91.37,91.39,89.91
"Krishna",92.78,92.53,92.22,77.5,89.68,88.74,89.2,89.65,83.17
"Guntur",90.5,91.44,87.16,74.91,79.88,78.95,74.05,79.89,77.14
"Prakasam",87.39,89.48,80.48,73.51,81.7,69.45,66.26,64.02,72.06
"Kurnool",90.54,89.53,80.46,87.09,83.4,79.62,74.37,75.39,82.6
"Anantapur",87.89,83.99,78.92,80.2,82.83,81.69,78.92,75.27,76.01
"Kadapa",86.82,79.04,72.35,72.01,72.46,69.64,65.73,65.25,63.64
"Chittoor",84.58,78.44,69.46,73.99,73.88,73.93,66.51,66.28,64.75
"Nellore",82.77,80.96,70.07,67.51,69.65,65.98,61.35,58.22,58.69
