"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","26-07-19","27-07-19","28-07-19","29-07-19","30-07-19","31-07-19","01-08-19","02-08-19","03-08-19"
1,826001,"PRAKASAM","JANAKAVARAMPANGULU","Ramakuru",80.03999,15.892867,20.9154830932617,17.887366104126,25.1105438232422,20.3456462860107,14.6587280273438,18.71949634552,20.8261264801025,26.2582426071167,27.088613319397
2,1315004,"KURNOOL","JUPADUBUNGALOW","Bollavaram",78.377097,15.885363,20.9243356704712,22.7796501159668,25.3855350494385,22.3304912567139,19.5922777175903,25.0258014678955,24.5658554077148,23.5558153152466,30.5715110778809
3,1330889,"KURNOOL","ATMAKURKURNOOL","Pinnapuram",78.654945,15.886427,16.8074066162109,27.5349397659302,28.8282657623291,22.1144536972046,21.3916511535645,23.3030508041382,22.3413436889648,21.0294044494629,27.5489284515381
4,820009,"PRAKASAM","MARTUR","LakkavaramAgraharam",80.061727,15.906479,22.4008192062378,18.1787149429321,25.5236400604248,20.5060346603394,14.1106372833252,18.2482154846191,20.1669107437134,24.0584363937378,28.96787109375
5,1303014,"KURNOOL","MANTRALAYAM","Budur",77.380195,15.868793,22.7582490921021,25.5363653182983,29.4090408325195,23.8381244659424,21.3821342468262,26.131640625,28.05875415802,30.4719886779785,31.8673896789551
6,805004,"PRAKASAM","DONAKONDA","PadamaraLakshmipuram",79.387233,15.888066,17.9594655990601,17.186266708374,22.4609436035156,20.4503391265869,17.9457120895386,21.8127073287964,25.7367765426636,30.4789512634277,22.8927011489868
7,822002,"PRAKASAM","KARAMCHEDU","Karamchedu1",80.321381,15.887126,19.3946714401245,15.5979475021362,23.5401203155518,19.1152788162231,14.2448713302612,12.6299909591675,17.2067544937134,18.7786079406738,26.284808921814
8,806008,"PRAKASAM","PEDAARAVEEDU","BoyadaGumpula",79.243357,15.885803,21.0818349838257,19.369402885437,21.4495594024658,20.4714294433594,19.8190732955933,21.0824598312378,26.75247631073,26.0153211593628,25.2236600875855
9,1301011,"KURNOOL","KOWTHALAM","Thippaladoddi",77.165642,15.871667,22.7849166870117,27.8883630752563,29.0782905578613,23.6169370651245,20.8485008239746,26.7593204498291,28.700511932373,32.4032821655273,34.1067775726318
10,1307007,"KURNOOL","KURNOOL","G.Singavaram1",77.934328,15.87304,22.692324256897,24.3636657714844,30.1159286499023,21.0997993469238,21.0348787307739,26.2890180587769,27.5974142074585,29.4652084350586,33.033475112915
11,806007,"PRAKASAM","PEDAARAVEEDU","ThokaPalle",79.291841,15.882713,18.9729543685913,17.397442817688,21.0343534469604,20.558228302002,18.8106605529785,21.7255565643311,25.5847120285034,26.9658651351929,23.1260335922241
12,1301001,"KURNOOL","KOWTHALAM","Nadichagi",77.050836,15.858904,22.2716011047363,29.975269317627,28.2387668609619,23.8153415679932,21.1798364639282,27.6791524887085,28.7378053665161,31.5156761169434,34.0172046661377
13,1303015,"KURNOOL","MANTRALAYAM","Chilakaladona",77.417441,15.866402,22.7582490921021,25.5363653182983,29.4090408325195,23.8381244659424,21.3821342468262,26.131640625,28.05875415802,30.4719886779785,31.8673896789551
14,756005,"GUNTUR","KARLAPALEM","Perali",80.564029,15.892302,20.2566347122192,19.4405170440674,21.0491214752197,18.6007221221924,16.8128774642944,14.2379439353943,17.1876399993896,21.0866140365601,27.6503185272217
15,806005,"PRAKASAM","PEDAARAVEEDU","Cumbampadu",79.334104,15.878309,18.9729543685913,17.397442817688,21.0343534469604,20.558228302002,18.8106605529785,21.7255565643311,25.5847120285034,26.9658651351929,23.1260335922241
16,805003,"PRAKASAM","DONAKONDA","PolePalle",79.430973,15.87979,17.9594655990601,17.186266708374,22.4609436035156,20.4503391265869,17.9457120895386,21.8127073287964,25.7367765426636,30.4789512634277,22.8927011489868
17,1314002,"KURNOOL","PAMULAPADU","Jutur",78.448881,15.870672,20.9243356704712,22.7796501159668,25.3855350494385,22.3304912567139,19.5922777175903,25.0258014678955,24.5658554077148,23.5558153152466,30.5715110778809
18,806004,"PRAKASAM","PEDAARAVEEDU","Ambapuram",79.335029,15.893988,18.9729543685913,17.397442817688,21.0343534469604,20.558228302002,18.8106605529785,21.7255565643311,25.5847120285034,26.9658651351929,23.1260335922241
19,1314003,"KURNOOL","PAMULAPADU","Chelimella",78.480902,15.863307,20.4482500076294,24.907368850708,26.4964914321899,23.0371593475342,19.7530025482178,24.4015874862671,24.0992403030396,19.9071458816528,31.8950752258301
20,1302015,"KURNOOL","KOSIGI","Yandapalle",77.215956,15.869363,22.7849166870117,27.8883630752563,29.0782905578613,23.6169370651245,20.8485008239746,26.7593204498291,28.700511932373,32.4032821655273,34.1067775726318
21,804019,"PRAKASAM","KURICHEDU","Dekanakonda",79.671579,15.883023,19.5495958328247,18.1967874526978,25.245092010498,20.0914964675903,15.6813543319702,20.7569246292114,22.7897506713867,27.7885076522827,21.7035530090332
22,757017,"GUNTUR","BAPATLA","BapatlaWestRural",80.435648,15.887003,17.9137744903564,15.4129737854004,22.0213531494141,19.052691078186,15.1696231842041,13.824405670166,16.822466468811,18.8028156280518,26.0230991363525
23,807016,"PRAKASAM","DORNALA","ChilakaCherlaGudem",79.004664,15.885889,22.4657913208008,29.0288726806641,32.2467784881592,25.6750110626221,24.8399110794067,27.4299825668335,32.8110191345215,30.5533218383789,28.1064262390137
24,1307001,"KURNOOL","KURNOOL","Sunkesula",77.834714,15.870627,23.7132493972778,23.903829574585,30.5008003234863,21.0450616836548,21.166081237793,26.533233833313,27.2123331069946,28.6011011123657,31.2199928283691
25,1315003,"KURNOOL","JUPADUBUNGALOW","Tangadancha",78.353557,15.866583,20.9243356704712,22.7796501159668,25.3855350494385,22.3304912567139,19.5922777175903,25.0258014678955,24.5658554077148,23.5558153152466,30.5715110778809
26,820013,"PRAKASAM","MARTUR","BollaPalle",80.09087,15.883023,22.4008192062378,18.1787149429321,25.5236400604248,20.5060346603394,14.1106372833252,18.2482154846191,20.1669107437134,24.0584363937378,28.96787109375
27,1301010,"KURNOOL","KOWTHALAM","Chudi",77.14523,15.85101,22.2716011047363,29.975269317627,28.2387668609619,23.8153415679932,21.1798364639282,27.6791524887085,28.7378053665161,31.5156761169434,34.0172046661377
28,814004,"PRAKASAM","MUNDLAMURU","Purimetla",79.845342,15.879728,20.4382661819458,17.7153854370117,24.8057229995728,19.6452730178833,15.1052192687988,18.0231880187988,21.8438329696655,26.7764110565186,23.0377618789673
29,1305005,"KURNOOL","CBELAGAL","Kothakota1",77.797096,15.863397,23.7132493972778,23.903829574585,30.5008003234863,21.0450616836548,21.166081237793,26.533233833313,27.2123331069946,28.6011011123657,31.2199928283691
30,1307008,"KURNOOL","KURNOOL","Nidzur",77.97209,15.86234,21.8291181564331,25.4244094848633,29.7085899353027,21.2745180130005,21.8189266204834,26.6605173110962,28.2202789306641,30.1835391998291,33.0636291503906
31,1302024,"KURNOOL","KOSIGI","Kosigi1",77.247141,15.839242,23.5055614471436,26.0873502731323,29.2461135864258,24.2495573043823,20.4580415725708,27.3665451049805,29.1223560333252,34.3244167327881,34.738591003418
32,757019,"GUNTUR","BAPATLA","Adivi",80.486393,15.850878,18.2018840789795,16.0783075332642,21.2248958587647,19.1279937744141,14.5479085922241,15.8436138153076,16.8874780654907,19.8212671279907,26.9693464279175
33,814010,"PRAKASAM","MUNDLAMURU","Marella",79.886427,15.871709,20.2393226623535,17.1833261489868,24.6607583999634,19.7336906433105,14.9530860900879,18.086065864563,21.0012914657593,26.675855255127,24.6840116500854
34,814006,"PRAKASAM","MUNDLAMURU","Vemula1",79.76763,15.869017,20.4382661819458,17.7153854370117,24.8057229995728,19.6452730178833,15.1052192687988,18.0231880187988,21.8438329696655,26.7764110565186,23.0377618789673
35,1303013,"KURNOOL","MANTRALAYAM","Sunkeswari",77.346557,15.85722,22.7501981735229,26.0094245910645,29.5896183013916,23.397207069397,21.068723487854,26.9039005279541,28.3624814987183,32.2530956268311,32.9162544250488
36,1308007,"KURNOOL","NANDIKOTKUR","Allur1",78.201215,15.870373,21.612059211731,21.1465255737305,27.2795076370239,22.2514394760132,21.0477910995483,26.1260736465454,26.73336353302,27.9518898010254,32.4739311218262
