"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","16-12-19","17-12-19","18-12-19","19-12-19","20-12-19","21-12-19","22-12-19","23-12-19","24-12-19","25-12-19"
14157,201095,"VIZIANAGARAM","KOMARADA","Somalingapuram",83.398454,18.826772,70.18875,73.0525,73.53,73.8975,75.35875,72.515,73.2425,71.2925,74.37,71.2
14158,201091,"VIZIANAGARAM","KOMARADA","Pedanissankapuram",83.432241,18.828441,70.18875,73.0525,73.53,73.8975,75.35875,72.515,73.2425,71.2925,74.37,71.2
14159,206001,"VIZIANAGARAM","PARVATHIPURAM","Chandalangi",83.376579,18.826839,70.18875,73.0525,73.53,73.8975,75.35875,72.515,73.2425,71.2925,74.37,71.2
14160,133058,"SRIKAKULAM","MANDASA","Raghunadhapuram1",84.459845,18.817376,78.27125,78.35625,80.945,83.0675,81.4,80.74625,82.4975,79.3375,77.11,78.215
14161,203087,"VIZIANAGARAM","KURUPAM","Gummidiguda1",83.774766,18.827355,78.12125,80.3275,81,81.82875,81.08125,80.485,81.5875,76.475,75.335,73.6
14162,190921,"SRIKAKULAM","PALASA","KOSANGIPURAM",84.469811,18.820322,78.27125,78.35625,80.945,83.0675,81.4,80.74625,82.4975,79.3375,77.11,78.215
14163,190922,"SRIKAKULAM","PALASA","Kothajagadevapuram",84.377614,18.821271,78.485,78.18125,80.5275,82.245,79.69125,78.40375,79.8525,75.5925,76.14,76.1525
14164,201085,"VIZIANAGARAM","KOMARADA","Nimmalapadu3",83.493657,18.830892,70.43,72.41875,71.45375,72.37,73.72375,72.93375,73.09,69.1325,70.685,71.1425
14165,201089,"VIZIANAGARAM","KOMARADA","Sundarapuram",83.441068,18.831116,70.18875,73.0525,73.53,73.8975,75.35875,72.515,73.2425,71.2925,74.37,71.2
14166,204007,"VIZIANAGARAM","JIYYAMMAVALASA","Chinamerangi",83.550905,18.823551,74.92875,75.40125,74.61625,75.385,76.00375,75.245,76.315,70.7975,69.215,70.445
14167,132034,"SRIKAKULAM","PALASA","Rangoi",84.4833,18.817284,78.27125,78.35625,80.945,83.0675,81.4,80.74625,82.4975,79.3375,77.11,78.215
14168,203034,"VIZIANAGARAM","KURUPAM","Yeguvaballeru",83.693946,18.825453,78.02875,80.2625,79.4725,80.31875,81.68875,79.525,80.295,75.42,74.7325,73.2225
