"DISTRICT","D20191216","D20191217","D20191218","D20191219","D20191220","D20191221","D20191222","D20191223","D20191224","D20191225"
"Srikakulam",95.22,94.58,95.38,96.32,97.8,98.21,96,95.55,96.04,94.72
"Vizianagaram",93.74,94.53,96.54,96.84,96.71,98.49,97.83,96.55,93.4,92.62
"Visakhapatnam",92.54,95.47,96.4,96.3,96.34,98.59,98.1,95.39,91.82,89.39
"East Godavari",91.55,92.96,95.23,96.41,97.64,97.9,96.73,95.63,96.01,92.52
"West Godavari",93.38,94.36,96.43,97.55,98.27,97.88,98.52,96.85,96.25,96.07
"Krishna",94.76,94.87,94.58,97.36,98.18,98.57,96.91,95.2,96.17,96.94
"Guntur",96.18,96.79,95.98,98.02,98.9,98.36,97.84,96.41,94.78,97.21
"Prakasam",97.07,96.6,96.07,97.57,99.11,98.65,97.7,95.13,93.75,97.84
"Kurnool",95.83,94.86,95.19,95.35,96.09,96.42,96.18,84.36,85.46,86.53
"Anantapur",97.86,95.85,93.16,93.92,95.2,94.66,96.13,92.66,90.14,84.7
"Kadapa",97.11,96.83,94.61,95.62,97,98.35,97.62,93.44,94.2,96.28
"Chittoor",98,97.68,95.17,96.65,97.87,98.32,97.67,93.05,96.02,98.24
"Nellore",94.77,92.27,92.6,92.94,96.41,97.78,95.42,93.81,94.98,97.35
