"DISTRICT","D20191216","D20191217","D20191218","D20191219","D20191220","D20191221","D20191222","D20191223","D20191224","D20191225"
"Srikakulam",6.94,7.59,7.54,6.08,5.65,6.28,6.09,5.37,6.23,6.51
"Vizianagaram",5.06,5.54,5.29,4.61,4.6,5.31,5.22,5.27,5.14,5.43
"Visakhapatnam",6.52,7.1,6.36,5.44,5.02,5.33,5.42,4.82,4.71,5.17
"East Godavari",8.71,8.68,8.25,6.84,5.31,5.9,6.9,6.53,5.66,5.29
"West Godavari",10.06,9.1,8.56,6.93,5.27,5.98,7.12,7.56,7.39,6.51
"Krishna",10.61,9.41,8.53,7.37,5.23,6.08,7.6,7.69,7.32,7.33
"Guntur",8.67,8.56,7.59,6.32,5.25,7.06,7.58,7.59,7.36,8.49
"Prakasam",8.18,8.99,8.25,6.66,5.49,6.94,7.36,7.02,6.6,7.79
"Kurnool",9.77,11.01,10.1,8.39,6.51,9.35,9.73,8.99,7.87,9.22
"Anantapur",10.38,13.15,11.93,10.32,7.66,9.63,9.96,8.37,7.3,8.11
"Kadapa",8.35,10.42,9.27,8.48,6.18,8.09,8.65,7.62,6.41,8.16
"Chittoor",8.41,10.98,10.39,8.93,6.65,7.43,6.99,6.33,5.63,7.1
"Nellore",9.01,10.32,10.21,7.86,5.93,7.01,7.49,6.9,6.02,7.1
