"","Time","2m_temperature(C)","Heat_index(C)","2m_relative_humidity(%)","Rainfall(mm)","mean_sea_level_pressure(mb)","Wind_speed(km/h)","wind_direction"
"1",2019-07-25 17:30:00,30.4935550689697,35.01,65.13,0,1007.1088,25.8868446350098,265.38
"2",2019-07-25 20:30:00,27.1927738189697,30.48,82.86,0.01,1009.1494,19.7554899215698,253.78
"3",2019-07-25 23:30:00,26.4071292877197,28.78,85.06,0,1010.1712,18.6487169265747,260.61
"4",2019-07-26 02:30:00,26.2647953033447,28.33,82.6,0,1007.5688,16.9612649917603,264.99
"5",2019-07-26 05:30:00,26.0116214752197,27.77,82.21,0,1007.6538,17.5914253234863,262.33
"6",2019-07-26 08:30:00,29.2064456939697,32.72,67.62,0,1009.6312,17.7495348930359,262.53
"7",2019-07-26 11:30:00,33.3097152709961,37.36,51.42,0,1008.9719,27.9320594787598,274.26
"8",2019-07-26 14:30:00,32.6673831939697,37.09,55.07,0.04,1006.6819,28.0824726104736,269.25
"9",2019-07-26 17:30:00,29.8451175689697,34.18,67.89,0.01,1007.145,24.4367986679077,267.22
"10",2019-07-26 20:30:00,27.2850589752197,30.16,77.97,0,1009.0125,17.1627516746521,249.02
"11",2019-07-26 23:30:00,26.7520999908447,29.15,79.45,0,1009.7375,15.0841993331909,255.16
"12",2019-07-27 02:30:00,26.0265140533447,27.82,82.64,0,1007.3575,14.5651562690735,267.6
"13",2019-07-27 05:30:00,25.0526371002197,25.85,85.84,0,1007.1019,13.0692784309387,266.71
"14",2019-07-27 08:30:00,29.0760746002197,32.29,66.69,0,1008.9256,15.3482050895691,265.62
"15",2019-07-27 11:30:00,33.4083480834961,37.09,49.85,0,1008.6556,24.4390783309937,273.64
"16",2019-07-27 14:30:00,33.1305160522461,37.36,52.67,0,1006.1081,26.6067426681519,268.06
"17",2019-07-27 17:30:00,29.4920902252197,34,70.77,0,1006.1569,23.5565019607544,269.67
"18",2019-07-27 20:30:00,27.3426761627197,30.42,79.15,0.02,1008.7381,15.9172883033752,260.83
"19",2019-07-27 23:30:00,26.0553226470947,27.81,81.03,0,1009.69,15.2954295158386,258.12
"20",2019-07-28 02:30:00,25.4515628814697,26.65,80.63,0,1007.1956,15.12108335495,261.8
"21",2019-07-28 05:30:00,24.1695804595947,24.97,88.99,0,1007.4312,12.5322684288025,267.89
"22",2019-07-28 08:30:00,29.3651371002197,32.01,61.98,0,1009.3662,14.2943776130676,271.87
"23",2019-07-28 11:30:00,34.6187973022461,37.38,42.94,0,1008.7738,23.4528648376465,279.62
"24",2019-07-28 14:30:00,35.2525863647461,38.66,42.98,0,1005.8212,26.6787631988525,279.14
"25",2019-07-28 17:30:00,31.6412601470947,35.27,56.4,0,1006.0369,23.4444208145142,270.84
"26",2019-07-28 20:30:00,27.7206058502197,30.12,69.86,0,1008.945,16.2259363174438,253.5
"27",2019-07-28 23:30:00,26.4330081939697,28.09,72.63,0,1009.7844,15.3435144424438,260.17
"28",2019-07-29 02:30:00,25.4269046783447,26.07,78.14,0,1007.76,14.2827612876892,259.44
"29",2019-07-29 05:30:00,24.9681644439697,25.61,80.01,0,1008.205,13.7610857963562,268.79
"30",2019-07-29 08:30:00,29.8939456939697,31.62,54.49,0,1010.0169,14.9592607498169,274.09
"31",2019-07-29 11:30:00,35.5501937866211,37.42,37.33,0,1008.8869,16.1502619743347,265.92
"32",2019-07-29 14:30:00,35.6292953491211,38.34,39.79,0.01,1006.0775,28.5902555465698,274.56
"33",2019-07-29 17:30:00,31.0338382720947,35.28,61.42,0,1006.5919,25.8887552261353,266.26
"34",2019-07-29 20:30:00,27.5711917877197,30.49,75.45,0,1008.9244,19.9027736663818,259.28
"35",2019-07-29 23:30:00,26.4671878814697,28.27,74.77,0,1009.3706,17.4585439682007,266.38
"36",2019-07-30 02:30:00,25.8529300689697,27.22,74.25,0,1007.2238,17.6758904457092,269.01
"37",2019-07-30 05:30:00,25.2206058502197,25.87,79.39,0,1008.1106,15.317049407959,271.58
"38",2019-07-30 08:30:00,29.9750003814697,32.3,57.44,0,1010.2619,10.6015259742737,268.4
"39",2019-07-30 11:30:00,35.5768051147461,38.36,40.15,0,1009.4712,11.5790173530579,261.55
"40",2019-07-30 14:30:00,34.9896469116211,39.71,47.52,0.29,1006.6581,26.3827159881592,269.69
"41",2019-07-30 17:30:00,31.3526859283447,36.32,62.62,0.03,1006.9481,25.6526573181152,272.99
"42",2019-07-30 20:30:00,27.7628421783447,31.55,80.31,0,1009.5012,21.0607841491699,271.71
"43",2019-07-30 23:30:00,26.7418460845947,29.36,82.24,0,1010.0644,18.330357170105,278.5
"44",2019-07-31 02:30:00,25.9701175689697,27.6,79.8,0,1008.6394,15.5003940582275,280.9
"45",2019-07-31 05:30:00,24.9356937408447,25.7,84.8,0,1008.9631,11.5173840522766,276.31
"46",2019-07-31 08:30:00,30.7210941314697,33.05,54.5,0,1011.0662,7.92708742618561,232.59
"47",2019-07-31 11:30:00,36.4239730834961,39.2,37.76,0,1009.6919,11.5843431472778,256.81
"48",2019-07-31 14:30:00,36.1102523803711,39.95,41.62,1.18,1006.7994,20.2597177505493,280.1
"49",2019-07-31 17:30:00,32.2730960845947,36.92,57.43,0.26,1007.3831,19.5169741630554,271.69
"50",2019-07-31 23:30:00,26.7198734283447,29.32,82.4,0,1010.2812,21.3459548950195,269.6
"51",2019-08-01 05:30:00,25.2064456939697,26.01,85.41,0,1008.3381,13.6673329353333,265.36
"52",2019-08-01 11:30:00,34.9015121459961,38.91,45.83,0.01,1009.4231,24.7993457794189,269.42
"53",2019-08-01 17:30:00,30.3299808502197,34.54,64.74,0.0799999999999998,1007.3912,29.8632654190063,257.02
"54",2019-08-01 23:30:00,26.4806156158447,29.21,88.6,0.0600000000000001,1010.5875,21.9779846191406,242.44
"55",2019-08-02 05:30:00,25.8514652252197,27.7,91.51,0.18,1009.1906,21.2234298706055,232.51
"56",2019-08-02 11:30:00,31.3121585845947,35.64,60.48,0.29,1009.9875,29.0294031143188,259.34
"57",2019-08-02 17:30:00,28.3414554595947,32.49,77.22,0.72,1007.8175,27.2116962432861,253.28
